set_id,rel,fy,p,q,fl,fs,mu,j,c,tag
1,0.08795773040420304,0.2305556378978491,0.02191369970486965,0.07388142712823115,0,0.9774451672406634,0.859091703355615,0.6393343409911031,0.998555241630678,rel0p0880_fy0p2306_p0p0219_q0p0739_fl0p0000_fs0p9774_mu0p8591_j0p6393_c0p9986
2,0.17389115725674761,0.23878245096443224,0.19256878715554718,0.11388721300436185,0,0.9396532832319942,0.8013110919086776,0.5228124961699127,0.9545743370573968,rel0p1739_fy0p2388_p0p1926_q0p1139_fl0p0000_fs0p9397_mu0p8013_j0p5228_c0p9546
3,0.19469515267469711,0.7875081408215501,0.12955578088581096,0.08666245878640097,0,0.856521268497007,0.8017016009620485,0.9519612166920677,0.8463261742972583,rel0p1947_fy0p7875_p0p1296_q0p0867_fl0p0000_fs0p8565_mu0p8017_j0p9520_c0p8463
4,0.06434221240169438,0.46459397527405993,0.07968554877027405,0.0460673525272822,0,0.9698079930836894,0.8951296683356306,0.48511862432616765,0.9777317042969633,rel0p0643_fy0p4646_p0p0797_q0p0461_fl0p0000_fs0p9698_mu0p8951_j0p4851_c0p9777
5,0.1089047798191784,0.3818694460115768,0.041200894446717574,0.19287759781412783,0,0.9697672241608146,0.998196873181779,0.738774903037306,0.9486747569732089,rel0p1089_fy0p3819_p0p0412_q0p1929_fl0p0000_fs0p9698_mu0p9982_j0p7388_c0p9487
6,0.11480448650420318,0.31321538906330243,0.03672802425030619,0.1298953936706111,0,0.8767491642048443,0.9225679097269848,0.4574257749769604,0.9708567131505814,rel0p1148_fy0p3132_p0p0367_q0p1299_fl0p0000_fs0p8767_mu0p9226_j0p4574_c0p9709
7,0.16676533771135518,0.6471787486203389,0.00812346057417337,0.13390984792070465,0,0.8455591557088448,0.9029627359402785,0.887661959068873,0.910211922408552,rel0p1668_fy0p6472_p0p0081_q0p1339_fl0p0000_fs0p8456_mu0p9030_j0p8877_c0p9102
8,0.08932782911404827,0.4460800511703268,0.18999645401883405,0.01467677015958354,0,0.8762266761749518,0.834662863372243,0.2998559598898748,0.9977025093291141,rel0p0893_fy0p4461_p0p1900_q0p0147_fl0p0000_fs0p8762_mu0p8347_j0p2999_c0p9977
9,0.039010075686543015,0.9180379017524609,0.06836389818698167,0.12532826398769858,0,0.8596495164640854,0.9856751266889274,0.3762191382082179,0.9830413238655497,rel0p0390_fy0p9180_p0p0684_q0p1253_fl0p0000_fs0p8596_mu0p9857_j0p3762_c0p9830
10,0.03710107330304384,0.3783132277087867,0.023022459158506245,0.04173682581223548,0,0.8443446679601586,0.9763211888724007,0.6601657166621647,0.8529207513415814,rel0p0371_fy0p3783_p0p0230_q0p0417_fl0p0000_fs0p8443_mu0p9763_j0p6602_c0p8529
11,0.02580247363381437,0.20078663847941908,0.07283252329290378,0.010735922558330932,0,0.8800090446613263,0.8308044140735689,0.39650681973851754,0.935691570453262,rel0p0258_fy0p2008_p0p0728_q0p0107_fl0p0000_fs0p8800_mu0p8308_j0p3965_c0p9357
12,0.06636965765046492,0.377885840163827,0.16385943348112053,0.14547849525482395,0,0.816735401203176,0.9792684932702035,0.8810791486545698,0.8390008942837268,rel0p0664_fy0p3779_p0p1639_q0p1455_fl0p0000_fs0p8167_mu0p9793_j0p8811_c0p8390
13,0.10009559439435461,0.9433624562187679,0.08978042200847064,0.045000639813882304,0,0.8469156821848778,0.8575550177940308,0.24152434036035555,0.9188017307557119,rel0p1001_fy0p9434_p0p0898_q0p0450_fl0p0000_fs0p8469_mu0p8576_j0p2415_c0p9188
14,0.09587275111751281,0.8150422893276439,0.04441741647349205,0.18189463142221796,0,0.8462804890965437,0.8572386891278625,0.9871131467577768,0.82991881645903,rel0p0959_fy0p8150_p0p0444_q0p1819_fl0p0000_fs0p8463_mu0p8572_j0p9871_c0p8299
15,0.17318062154752786,0.2801496486038156,0.1659125552730961,0.10832730753890239,0,0.9656086706460127,0.8723280426743301,0.935657320509688,0.8787295175139327,rel0p1732_fy0p2801_p0p1659_q0p1083_fl0p0000_fs0p9656_mu0p8723_j0p9357_c0p8787
